页码,微博id,微博ids,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4785707983832954	,4785707983832954	,知未科技,2022-06-29 14:46:00,#微念起诉李子柒公司案将开庭#近日，杭州微念品牌管理有限公司与四川子柒文化传播有限公司相关案件新增开庭公告，原告为微念，该案将于7月4日在绵阳市中级人民法院开庭。还记得前因后果吗？阿知带你回顾“李子柒”事件始末。@知未科技 知未科技的微博视频 ,234,115,553
1,4792914813387718	,4792914813387718	,2的很有范儿-,2022-07-19 12:03:22,#李子柒#微念起诉李子柒公司案将开庭  小编带你了解事件始末 2的很有范儿-的微博视频 ,180,176,1352
1,4792911403421279	,4792911403421279	,剧综达人洋柿子,2022-07-19 11:49:49,#李子柒#李子柒自那事件后就没有再露过面了，你们知道这个网红吗？  网页链接 ,111,115,472
1,4686743301259936	,4686743301259936	,观视频工作室,2021-09-29 12:35:41,【被资本捧红，与资本闹掰，深度解读李子柒停更事件】#李子柒说时代给了我一阵风# #李子柒为什么停更# 李子柒和她背后的资本杭州微念，本应是一场相辅相成互惠共赢的合作关系，到如今却变成“资本真的是好手段”。不过归根结底，终究是金钱、利益的问题。#欣欣向融# 观视频工作室的微博视频 ,893,591,8525
1,4683682508178808	,4683682508178808	,岱琳,2021-09-21 01:53:11,"聊聊李子柒事件。内容创作者和资本的关系。

#视频星计划##创业[超话]##李子柒[超话]# http://t.cn/RZIPNkX http://t.cn/A6ML0HNk ​",18,39,174
1,4521945603973586	,4521945603973586	,新京报,2020-07-01 18:28:28,【#律师解读李子柒视频疑被抄袭#：维权难度大 需精准比对】7月1日，有网友曝光某越南美食博主疑似抄袭李子柒视频，引热议。对此有律师称该事件维权难度较大。律师表示，我国的《著作权法》保护表达，但不保护思想。“表达”与“思想”之间的界限也没有进行明确规定。例如，李子柒视频中的画面，属于故事表达，但其中关于田园生活的理念，应属于思想。而其中镜头运用、拍摄内容、发型、造型等方面的雷同，都需要进一步根据细节具体分析。新京报动新闻的秒拍视频 @新京报动新闻,43,92,510
1,4805843135234297	,4805843135234297	,童年童梦有内涵,2022-08-24 04:15:54,李子柒方回应螺蛳粉刀片事件：被恶意抹黑，该批次生产仪器无异常  童年童梦有内涵的微博视频 ,0,0,0
1,4803790563706073	,4803790563706073	,整圈儿美悦宝,2022-08-18 12:19:43,李子柒官方回应螺蛳粉事件 李子柒螺蛳粉被黑幕后真相，原来是无良营销号在造谣#时尚穿搭##喜欢的精灵分享给大家2# 整圈儿美悦宝的微博视频 ,0,0,0
1,4803351830858556	,4803351830858556	,BB兽,2022-08-17 07:16:21,李子柒接受官媒采访，将带来新的大动作，也间接回应了资本事件  BB兽的微博视频 ,0,0,0
