id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4785707983832954,13,4785709913211334,2022-06-29 14:53:39,15,来自河南,你我毕竟深爱过,2998699310,m,670,137,法庭会公正的
4785707983832954,9,4785709230327731,2022-06-29 14:50:57,12,来自辽宁,昕橡,5508865144,f,213,59,我从来没搞懂过，发生了啥
4785707983832954,33,4785720718000192,2022-06-29 15:36:35,30,来自江苏,Mia啊啊,3254181614,f,285,155,李子柒官司之后的视频如果还是正能量的中华艺术传承，也不恰烂钱的话，我还是很支持她的，李子柒对于文化输出的影响力这道光芒太耀眼，纵然仙女下凡，再上天也还是仙女。
4785707983832954,12,4785709431129039,2022-06-29 14:51:44,13,来自河北,passer-byA,5768340576,f,107,116,李子柒这个主播还是很优秀的
4785707983832954,40,4785734785697441,2022-06-29 16:32:29,4,来自浙江,離根香,6998213830,f,40,185,已经是双输了
4785707983832954,19,4785716029030613,2022-06-29 15:17:57,9,来自福建,敖彡禾,6808700281,m,56,109,一句“资本”就把自己的人设升华，懂得都懂吧，跟着节奏走的结果容易被打脸
4785707983832954,104,4787225013523696,2022-07-03 19:14:08,0,来自广东,putsc,5462353058,m,914,91,不知道
4785707983832954,103,4786395128268414,2022-07-01 12:16:28,0,来自福建,良辰美景奈何夭,7722347545,m,252,0,理性吃瓜，等开庭结果
4785707983832954,102,4786391488140655,2022-07-01 12:02:00,0,来自江苏,我是猫琪琪琪琪,7731863867,f,286,24,马上开庭了呀，蹲一个后续
4785707983832954,101,4786388359450122,2022-07-01 11:49:34,0,来自北京,情不知所起一往不深,7731134215,f,101,1,这种商业纠纷，还是相信法院的最终判决吧
4785707983832954,100,4786386676485956,2022-07-01 11:42:53,0,来自重庆,我本就喜欢三心二意,7730903048,f,270,12,未知全貌，还是不要过早去点评呢
4785707983832954,99,4786385115940541,2022-07-01 11:36:41,0,来自山东,甜甜甜的爱情什么时候轮到我,7731439187,f,147,0,我还是相信法律，法院会给出一个公正的结果
4785707983832954,98,4786383908506958,2022-07-01 11:31:53,0,来自上海,你就像记忆里带的光,7730903342,m,216,20,法庭一定会给出公证的判决
4785707983832954,51,4786009588631916,2022-06-30 10:44:28,0,来自海南,玛丽莲梦玲儿之小铁栓,2976731655,f,187,1035,
4785707983832954,47,4786003380802863,2022-06-30 10:19:48,0,来自安徽,板正的呆酱,7708978073,f,560,139,不要过早下定论了，等后续
4785707983832954,10,4785709296651226,2022-06-29 14:51:13,0,来自河南,空空白格子-,6166884169,f,851,66,坐等后续吧
4785707983832954,30,4785717969946361,2022-06-29 15:25:41,9,来自广东,凌爱凌爱思,1164383503,f,707,113,我还是支持李子柒
4785707983832954,45,4785948036695398,2022-06-30 06:39:53,0,来自浙江,卢有才_,2055906423,m,124,6348,我是不是可以理解成我有个项目，自己没钱，需要别人偷钱，我愿意拿49的股份。后来没想到太赚钱了，觉得事情都是自己做的，资方投的钱早就回本了，赚的比自己还多就不愿意了。
4785707983832954,17,4785714862752509,2022-06-29 15:13:19,0,来自山东,高明律师蒙冤大案,7365227231,m,695,7.9万,怎么回事
4785707983832954,3,4785708973428312,2022-06-29 14:49:56,4,来自广东,三言二拍-,5469645337,m,1063,1862,关注后续发展
4792914813387718,137,4792934505122365,2022-07-19 13:21:37,24,来自河北,2的很有范儿-,1895938705,f,1146,13.4万,你们都吃过李子柒的螺狮粉吗？
4792914813387718,125,4792922451740657,2022-07-19 12:33:43,3,来自河北,汎1995FunFairFuture,6597713782,f,46,4,李子柒是谁？网红吗
4792914813387718,120,4792921730323164,2022-07-19 12:30:51,11,来自上海,阿路1124,2378985845,m,360,645,想知道微念注册商标李子柒，是不是就和李佳佳没有关系了？还是说李子柒打造了网红李子柒账号也享有一部分所有权呢？
4792914813387718,112,4792915686065383,2022-07-19 12:06:50,124,来自河北,印象1949,7313193088,f,28,3,真的很喜欢她的视频，之前她出的每期必追，争论我不懂，只知道她的视频看的很舒服，也是一种文化输出，希望早日回归。
4792914813387718,126,4792922714673437,2022-07-19 12:34:46,10,来自河北,陆地战小虎,6328847008,m,233,1.3万,她怎么了？从一开始就不喜欢她的视频
